"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94
3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99
4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07
4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08
4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49
4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59
4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61
4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59
4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59
4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52
4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93
3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82
