"abs_error_vol_15min","abs_error_vol_30min","abs_error_vol_45min","abs_error_vol_60min","abs_error_vol_75min","abs_error_vol_90min","abs_error_vol_105min","abs_error_vol_120min"
9.33,6.33,4.33,4.33,4.33,10.33,13.33,8.33
11.6,8.6,7.6,5.6,1.6,6.6,5.6,3.6
6.33,-1.67,5.33,6.33,7.33,10.33,6.33,6.33
5.47,1.47,1.47,5.47,-0.53,4.47,-1.53,5.47
4.73,-0.27,3.73,0.73,3.73,10.73,5.73,6.73
1.47,5.47,1.47,8.47,5.47,1.47,4.47,5.47
1.47,3.47,4.47,10.47,-2.53,5.47,6.47,1.47
3.53,2.53,3.53,8.53,6.53,5.53,10.53,5.53
5.67,5.67,0.67,3.67,8.67,1.67,2.67,2.67
6.8,2.8,5.8,0.8,6.8,2.8,1.8,1.8
6.07,6.07,2.07,5.07,11.07,6.07,2.07,7.07
4.93,3.93,1.93,-0.07,5.93,2.93,1.93,-0.07
5.93,6.93,3.93,1.93,-0.07,2.93,4.93,7.93
-1.93,4.07,3.07,6.07,-0.93,0.07,-0.93,4.07
1.47,4.47,1.47,12.47,6.47,5.47,4.47,6.47
5.6,12.6,3.6,2.6,3.6,5.6,3.6,8.6
3.47,8.47,2.47,1.47,10.47,7.47,3.47,2.47
7.33,6.33,4.33,0.33,7.33,8.33,5.33,4.33
3.33,12.33,7.33,8.33,10.33,10.33,8.33,3.33
1.73,4.73,4.73,8.73,3.73,9.73,5.73,5.73
0.73,3.73,2.73,2.73,2.73,1.73,6.73,1.73
6.27,6.27,3.27,3.27,5.27,-0.73,4.27,8.27
8.73,6.73,4.73,9.73,5.73,5.73,2.73,7.73
6.2,1.2,4.2,5.2,9.2,3.2,6.2,7.2
4.2,0.2,2.2,-0.8,6.2,8.2,9.2,7.2
4.47,7.47,-0.53,-0.53,2.47,3.47,0.47,5.47
6.33,10.33,3.33,5.33,5.33,7.33,0.33,3.33
3.47,5.47,4.47,5.47,7.47,1.47,2.47,4.47
4.6,0.6,6.6,0.6,-1.4,5.6,3.6,1.6
7.2,7.2,4.2,11.2,6.2,-0.8,2.2,7.2
1.4,2.4,2.4,6.4,4.4,3.4,-2.6,-1.6
9.4,5.4,9.4,10.4,4.4,9.4,3.4,2.4
-2.47,0.53,6.53,4.53,-0.47,2.53,8.53,2.53
8.13,7.13,6.13,1.13,9.13,5.13,8.13,9.13
4.13,10.13,12.13,8.13,2.13,7.13,2.13,6.13
4.13,2.13,3.13,2.13,4.13,7.13,1.13,2.13
1.27,3.27,5.27,3.27,2.27,6.27,6.27,4.27
